,year,Country,mean_temp,median_temp,max_temp,min_temp,variance_temp,emission
0,1970,Afghanistan,14.783083333333332,15.471,26.862,1.3370000000000002,88.55211699242422,16.2696608261837
1,1970,Albania,12.839666666666666,12.124500000000001,22.264,5.172000000000001,42.2218926060606,7.94280822267541
2,1970,Algeria,23.322833333333335,22.593,33.709,13.013,57.599106151515166,51.5420091438545
3,1970,Angola,22.149833333333333,23.0415,23.493,19.11,2.7195357878787902,18.9854372333842
4,1970,Anguilla,26.91616666666667,27.011499999999998,28.2,25.549,1.0861525151515148,0.0043987724186625
5,1970,Argentina,15.195333333333332,15.9495,21.538,7.957999999999998,24.336118969696965,216.175065048976
6,1970,Armenia,9.846583333333333,10.185500000000001,21.388,-3.045,72.0465406287879,13.2476842622453
7,1970,Aruba,28.369333333333334,28.275,29.778,27.028,1.146967515151511,0.0873816706046317
8,1970,Australia,21.775750000000002,22.5745,28.377,14.0,27.337240568181812,305.90160978949
9,1970,Austria,5.934833333333334,5.3415,15.476,-3.892,57.182287242424245,71.7188825241049
10,1970,Azerbaijan,12.26075,12.0805,23.553,0.92,63.98058347727274,40.8345648059653
11,1970,Bahamas,25.038666666666668,25.446,28.719,20.768,8.01063078787879,3.37178837045547
12,1970,Bahrain,26.33458333333333,27.064500000000002,34.986999999999995,16.575,43.57225153787879,15.6822486045462
13,1970,Bangladesh,25.186583333333335,27.19,29.067,18.039,15.547634992424234,119.125844470791
14,1970,Barbados,26.76991666666667,26.9095,27.788,25.651,0.4708722651515153,0.912214885167533
15,1970,Belarus,5.764083333333333,5.977500000000001,18.305,-8.602,94.01075553787878,94.7354466660643
16,1970,Belgium,9.498999999999999,9.1985,17.88,1.505,42.80379163636363,168.312562710411
17,1970,Belize,25.140833333333333,26.0815,27.446,21.915000000000006,4.456584515151507,0.353305854188928
18,1970,Benin,27.524916666666666,27.128,30.657,25.157,3.3448369924242343,2.36281271160162
19,1970,Bhutan,12.107166666666666,13.122,18.046,3.419,29.50743924242425,0.685947796377755
20,1970,Bolivia,21.51625,22.1755,23.687,17.94,3.804062386363631,24.3374989527032
21,1970,Botswana,22.855833333333333,24.484,27.755,15.880999999999998,18.66867469696971,3.47738269620368
