,year,Country,mean_temp,median_temp,max_temp,min_temp,variance_temp,emission
0,1970,Afghanistan,14.783083333333332,15.471,26.862,1.3370000000000002,88.55211699242422,1.46229683592487
1,1970,Albania,12.839666666666666,12.124500000000001,22.264,5.172000000000001,42.2218926060606,3.69329871788125
2,1970,Algeria,23.322833333333335,22.593,33.709,13.013,57.599106151515166,3.5424061267254
3,1970,Angola,22.149833333333333,23.0415,23.493,19.11,2.7195357878787902,2.80170787845194
4,1970,Anguilla,26.91616666666667,27.011499999999998,28.2,25.549,1.0861525151515148,0.686986165650867
5,1970,Argentina,15.195333333333332,15.9495,21.538,7.957999999999998,24.336118969696965,9.01740138108863
6,1970,Armenia,9.846583333333333,10.185500000000001,21.388,-3.045,72.0465406287879,5.24646218213568
7,1970,Aruba,28.369333333333334,28.275,29.778,27.028,1.146967515151511,1.47946549624353
8,1970,Australia,21.775750000000002,22.5745,28.377,14.0,27.337240568181812,23.8187332915066
9,1970,Austria,5.934833333333334,5.3415,15.476,-3.892,57.182287242424245,9.54185637022034
10,1970,Azerbaijan,12.26075,12.0805,23.553,0.92,63.98058347727274,7.88309018227058
11,1970,Bahamas,25.038666666666668,25.446,28.719,20.768,8.01063078787879,19.9097061212341
12,1970,Bahrain,26.33458333333333,27.064500000000002,34.986999999999995,16.575,43.57225153787879,73.7623696740256
13,1970,Bangladesh,25.186583333333335,27.19,29.067,18.039,15.547634992424234,1.83135854665017
14,1970,Barbados,26.76991666666667,26.9095,27.788,25.651,0.4708722651515153,3.81922764757307
15,1970,Belarus,5.764083333333333,5.977500000000001,18.305,-8.602,94.01075553787878,10.5523775364198
16,1970,Belgium,9.498999999999999,9.1985,17.88,1.505,42.80379163636363,17.4739843639146
17,1970,Belize,25.140833333333333,26.0815,27.446,21.915000000000006,4.456584515151507,2.89163587262386
18,1970,Benin,27.524916666666666,27.128,30.657,25.157,3.3448369924242343,0.811310736933744
19,1970,Bhutan,12.107166666666666,13.122,18.046,3.419,29.50743924242425,2.29951557781488
20,1970,Bolivia,21.51625,22.1755,23.687,17.94,3.804062386363631,5.40139530840458
21,1970,Botswana,22.855833333333333,24.484,27.755,15.880999999999998,18.66867469696971,4.99913411961766
22,1970,Brazil,25.191083333333335,25.523000000000003,26.13,23.499,0.6397551742424255,3.70060408243636
23,1970,British Virgin Islands,26.606583333333333,26.5575,28.011,25.228,1.084669356060605,3.02442091167896
24,1970,Bulgaria,10.934583333333334,10.808,21.35,1.3569999999999998,52.66068681060606,10.5576388826194
25,1970,Burkina Faso,28.50091666666667,27.821500000000004,32.315,24.89,5.447808628787874,1.1070507877264
26,1970,Burundi,20.054916666666667,19.9435,20.927,19.017,0.27586881060605967,0.623172799843621
27,1970,Cambodia,27.008583333333334,27.0415,28.935,25.145,2.0375282651515145,3.45388608753469
28,1970,Cameroon,24.610416666666666,24.298000000000002,26.399,23.361,1.2706364469696931,1.10316763561105
29,1970,Canada,-5.103166666666667,-4.351500000000001,13.357,-23.575,186.3562656060606,20.8909776603448
30,1970,Cayman Islands,26.736500000000003,27.2155,28.879,23.551,3.347611545454548,8.5333632168236
31,1970,Central African Republic,25.42975,24.8905,27.487,23.59,1.7944545681818156,0.91844885072212
32,1970,Chad,27.020750000000003,27.6,31.641,21.402,11.264474386363638,2.34449117982552
33,1970,Chile,9.65375,9.937,13.979,5.21,10.397848568181827,5.07499309664786
34,1970,China,6.5681666666666665,7.611000000000001,19.75,-8.788,107.38571960606063,2.44326184220586
35,1970,Colombia,24.931250000000002,24.838500000000003,25.513,24.549000000000003,0.1053336590909084,3.75613387307674
36,1970,Comoros,25.91,26.3295,27.724,24.111,1.5910819999999986,0.976440756250141
37,1970,Congo,24.741083333333332,24.6115,25.985,23.266,0.7851595378787909,1.81337492905217
38,1970,Costa Rica,25.554000000000002,25.560499999999998,26.68,24.493,0.522754727272728,3.09751633150512
39,1970,Croatia,11.310666666666668,10.6855,21.23,1.719,55.52320296969697,6.62079996777813
40,1970,Cuba,25.412166666666668,25.846,27.854,21.95,4.20900196969697,5.27905410731176
41,1970,Curaçao,27.80391666666667,27.882000000000005,28.94400000000001,26.658,0.8568237196969721,104.580790532208
42,1970,Cyprus,19.297916666666666,19.072000000000003,26.955,12.055,27.383282628787867,4.74750023082597
43,1970,Denmark,-18.2145,-20.235999999999997,-2.8390000000000004,-30.298,109.69425063636363,16.4068600162024
44,1970,Djibouti,28.989250000000002,28.8645,33.708,24.419,10.688557295454542,6.67715259044695
45,1970,Dominica,26.423083333333334,26.594,27.356,25.128,0.7438080833333324,0.667883378980511
46,1970,Dominican Republic,25.67833333333333,25.859500000000004,27.178,24.097,1.320702424242426,2.12738134520881
47,1970,Ecuador,21.961250000000003,21.985,22.701,21.098000000000003,0.35467165909090886,2.24947363803474
48,1970,Egypt,22.70841666666667,23.373,29.982,13.642,36.15661517424241,1.60059143417239
49,1970,El Salvador,25.056,24.9845,27.187,23.371,1.1607987272727314,1.56415945492775
50,1970,Equatorial Guinea,25.19633333333333,25.236500000000003,26.586,23.19,1.1581678787878784,0.382810880498786
51,1970,Eritrea,26.864500000000003,27.573,30.228,22.91,6.406761363636363,2.20666691510122
52,1970,Estonia,4.349749999999999,3.8895,16.889,-10.64,98.05151911363636,18.9990226553315
53,1970,Ethiopia,23.135583333333333,23.1605,24.864,21.003,1.386304810606056,1.83370476150131
54,1970,Fiji,25.276416666666666,25.0685,27.079,23.679,1.3325608106060618,2.67097562583699
55,1970,Finland,1.1733333333333336,0.033500000000000085,16.048,-16.57,118.39217496969695,14.1514593597498
